frame,sim_t,state,yellow_frac,n_raw,n_filt,cx,err,steer,nolf,lidar,n_obj,top_model,top_color,top_area,top_px,bus_str
53,0.54,LINE_FOLLOW,0.035,2,2,98.2,-0.018,-0.0050,0,59.54,22,road,RGB(0.200,0.200,0.200),8001,64,0
54,0.55,LINE_FOLLOW,0.036,2,2,98.2,-0.018,-0.0050,0,59.52,22,road,RGB(0.200,0.200,0.200),8001,64,0
55,0.56,LINE_FOLLOW,0.036,2,2,98.2,-0.018,-0.0050,0,59.50,22,road,RGB(0.200,0.200,0.200),8001,64,0
56,0.57,LINE_FOLLOW,0.036,2,2,98.2,-0.018,-0.0050,0,59.47,22,road,RGB(0.200,0.200,0.200),8001,64,0
57,0.58,LINE_FOLLOW,0.036,2,2,98.2,-0.018,-0.0050,0,59.45,22,road,RGB(0.200,0.200,0.200),8001,64,0
58,0.59,LINE_FOLLOW,0.036,2,2,98.2,-0.018,-0.0050,0,59.43,22,road,RGB(0.200,0.200,0.200),8001,64,0
59,0.60,LINE_FOLLOW,0.036,2,2,98.2,-0.018,-0.0050,0,59.40,22,road,RGB(0.200,0.200,0.200),8001,64,0
60,0.61,LINE_FOLLOW,0.036,2,2,98.2,-0.018,-0.0050,0,59.38,22,road,RGB(0.200,0.200,0.200),8001,64,0
61,0.62,LINE_FOLLOW,0.036,2,2,98.2,-0.018,-0.0050,0,59.35,22,road,RGB(0.200,0.200,0.200),8001,64,0
62,0.63,LINE_FOLLOW,0.036,2,2,98.5,-0.015,-0.0022,0,59.33,21,road,RGB(0.200,0.200,0.200),8001,64,0
63,0.64,LINE_FOLLOW,0.036,2,2,98.2,-0.018,-0.0065,0,59.30,21,road,RGB(0.200,0.200,0.200),8001,64,0
64,0.65,LINE_FOLLOW,0.036,2,2,98.5,-0.015,-0.0014,0,59.28,21,road,RGB(0.200,0.200,0.200),8001,64,0
65,0.66,LINE_FOLLOW,0.036,2,2,98.5,-0.015,-0.0043,0,59.25,21,road,RGB(0.200,0.200,0.200),8001,64,0
66,0.67,LINE_FOLLOW,0.036,2,2,98.8,-0.013,-0.0009,0,59.23,21,road,RGB(0.200,0.200,0.200),8001,64,0
67,0.68,LINE_FOLLOW,0.036,2,2,98.8,-0.013,-0.0036,0,59.20,21,road,RGB(0.200,0.200,0.200),8001,64,0
68,0.69,LINE_FOLLOW,0.035,2,2,98.2,-0.018,-0.0098,0,59.17,21,road,RGB(0.200,0.200,0.200),8001,64,0
69,0.70,LINE_FOLLOW,0.035,3,3,98.6,-0.014,-0.0005,0,59.14,21,road,RGB(0.200,0.200,0.200),8001,64,0
70,0.71,LINE_FOLLOW,0.035,3,3,98.6,-0.014,-0.0040,0,59.12,21,road,RGB(0.200,0.200,0.200),8001,64,0
71,0.72,LINE_FOLLOW,0.035,2,2,98.2,-0.018,-0.0077,0,59.09,21,road,RGB(0.200,0.200,0.200),8001,64,0
72,0.73,LINE_FOLLOW,0.035,2,2,98.8,-0.013,0.0004,0,59.06,21,road,RGB(0.200,0.200,0.200),8001,64,0
73,0.74,LINE_FOLLOW,0.035,2,2,98.5,-0.015,-0.0070,0,59.03,21,road,RGB(0.200,0.200,0.200),8001,64,0
74,0.75,LINE_FOLLOW,0.035,2,2,98.2,-0.018,-0.0081,0,59.00,21,road,RGB(0.200,0.200,0.200),8001,64,0
75,0.76,LINE_FOLLOW,0.034,2,2,98.5,-0.015,-0.0020,0,58.97,21,road,RGB(0.200,0.200,0.200),8001,64,0
76,0.77,LINE_FOLLOW,0.034,3,3,98.6,-0.014,-0.0019,0,58.94,21,road,RGB(0.200,0.200,0.200),8001,64,0
77,0.78,LINE_FOLLOW,0.034,3,3,98.8,-0.013,-0.0017,0,58.91,20,road,RGB(0.200,0.200,0.200),8001,64,0
78,0.79,LINE_FOLLOW,0.034,3,3,98.8,-0.013,-0.0037,0,58.88,20,road,RGB(0.200,0.200,0.200),8001,64,0
